MUNICIPIO,DEPENDENCIA,LOCALIZACAO,TDI_AI,TDI_AF
Mirandiba,Municipal,Rural,6.1,11.1
Moreno,Municipal,Urbana,11.7,23.4
Moreno,Municipal,Rural,8.7,25.6
Nazaré da Mata,Municipal,Urbana,9.7,32.5
Nazaré da Mata,Municipal,Rural,9.5,20.7
Olinda,Municipal,Urbana,15.1,26.1
Olinda,Municipal,Rural,15.0,17.4
Orobó,Municipal,Urbana,1.4,10.2
Orobó,Municipal,Rural,2.0,9.5
Orocó,Estadual,Rural,14.3,22.2
Orocó,Municipal,Urbana,4.7,17.5
Orocó,Municipal,Rural,3.3,10.0
Ouricuri,Municipal,Urbana,11.5,25.6
Ouricuri,Municipal,Rural,13.4,26.0
Palmares,Municipal,Urbana,11.5,21.9
Palmares,Municipal,Rural,7.0,24.1
Palmeirina,Municipal,Urbana,6.0,19.3
Panelas,Municipal,Urbana,3.6,17.0
Panelas,Municipal,Rural,2.0,11.4
Paranatama,Municipal,Urbana,4.2,8.9
Parnamirim,Municipal,Urbana,3.8,13.5
Parnamirim,Municipal,Rural,1.7,14.8
Passira,Municipal,Urbana,7.1,13.9
Passira,Municipal,Rural,2.8,17.4
Paudalho,Municipal,Urbana,8.7,18.1
Paudalho,Municipal,Rural,7.6,20.1
Paulista,Estadual,Rural,21.2,33.9
Paulista,Municipal,Urbana,15.4,29.0
Paulista,Municipal,Rural,14.6,40.7
Pedra,Municipal,Urbana,8.3,19.3
Pedra,Municipal,Rural,4.9,13.4
Pesqueira,Estadual,Rural,24.1,48.1
Pesqueira,Municipal,Urbana,8.2,17.3
Pesqueira,Municipal,Rural,5.9,11.6
Petrolândia,Estadual,Rural,2.3,15.3
Petrolândia,Municipal,Urbana,2.6,11.1
Petrolândia,Municipal,Rural,2.0,9.9
Petrolina,Municipal,Urbana,5.6,13.2
Petrolina,Municipal,Rural,5.4,11.0
Poção,Municipal,Urbana,7.7,18.8
Pombos,Municipal,Urbana,14.1,39.1
Pombos,Municipal,Rural,12.0,37.3
Primavera,Municipal,Urbana,6.8,15.9
Quipapá,Municipal,Urbana,4.4,14.5
Quipapá,Municipal,Rural,2.8,18.8
Quixaba,Municipal,Urbana,2.0,11.1
Quixaba,Municipal,Rural,2.9,7.9
Recife,Estadual,Urbana,0.3,19.8
Recife,Municipal,Urbana,11.7,18.7
Riacho das Almas,Municipal,Urbana,4.0,25.4
Riacho das Almas,Municipal,Rural,5.4,16.2
Ribeirão,Municipal,Urbana,9.0,23.1
Ribeirão,Municipal,Rural,5.9,4.4
Rio Formoso,Municipal,Urbana,2.4,8.6
Sairé,Municipal,Urbana,9.1,21.8
Sairé,Municipal,Rural,4.7,10.0
Salgadinho,Municipal,Urbana,5.8,15.5
Salgueiro,Estadual,Rural,16.1,23.9
Salgueiro,Municipal,Urbana,7.6,16.0
Salgueiro,Municipal,Rural,5.4,13.8
Saloá,Municipal,Urbana,4.1,17.3
Saloá,Municipal,Rural,3.7,8.9
Sanharó,Municipal,Urbana,5.7,18.8
Sanharó,Municipal,Rural,3.5,20.2
Santa Cruz,Municipal,Urbana,3.1,22.5
Santa Cruz,Municipal,Rural,3.1,23.1
Santa Cruz da Baixa Verde,Municipal,Urbana,4.5,14.5
Santa Cruz da Baixa Verde,Municipal,Rural,8.0,15.8
Santa Cruz do Capibaribe,Municipal,Urbana,11.6,26.9
Santa Cruz do Capibaribe,Municipal,Rural,7.6,21.7
Santa Filomena,Municipal,Urbana,3.4,17.5
Santa Filomena,Municipal,Rural,6.6,13.4
Santa Maria da Boa Vista,Municipal,Urbana,5.0,22.7
Santa Maria da Boa Vista,Municipal,Rural,3.2,12.2
Santa Maria do Cambucá,Municipal,Urbana,9.3,22.1
Santa Terezinha,Municipal,Urbana,5.9,16.9
Santa Terezinha,Municipal,Rural,5.7,21.4
São Benedito do Sul,Municipal,Urbana,8.1,18.7
São Bento do Una,Municipal,Urbana,4.7,11.8
São Bento do Una,Municipal,Rural,3.0,11.4
São Caitano,Municipal,Urbana,10.1,24.2
São Caitano,Municipal,Rural,6.3,19.2
São João,Municipal,Urbana,6.0,9.3
São João,Municipal,Rural,5.5,11.5
São Joaquim do Monte,Municipal,Urbana,4.5,17.0
São Joaquim do Monte,Municipal,Rural,5.7,11.1
São José da Coroa Grande,Municipal,Urbana,13.1,22.8
São José da Coroa Grande,Municipal,Rural,10.3,21.1
São José do Belmonte,Municipal,Urbana,2.3,11.3
São José do Belmonte,Municipal,Rural,1.3,13.4
São José do Egito,Municipal,Urbana,3.6,16.8
São José do Egito,Municipal,Rural,3.8,5.8
São Lourenço da Mata,Municipal,Urbana,11.6,23.5
São Lourenço da Mata,Municipal,Rural,12.0,21.9
São Vicente Férrer,Municipal,Urbana,8.8,20.2
São Vicente Férrer,Municipal,Rural,6.3,23.9
Serra Talhada,Municipal,Urbana,4.8,11.6
Serra Talhada,Municipal,Rural,6.0,15.7
Serrita,Municipal,Urbana,4.8,17.9
Serrita,Municipal,Rural,3.7,31.3
Sertânia,Municipal,Urbana,5.0,17.8
Sertânia,Municipal,Rural,2.4,8.6
Sirinhaém,Municipal,Urbana,6.7,17.0
Sirinhaém,Municipal,Rural,2.4,14.3
Moreilândia,Municipal,Urbana,6.1,23.5
Solidão,Municipal,Urbana,1.3,8.9
Solidão,Municipal,Rural,2.3,6.7
Surubim,Municipal,Urbana,10.1,25.4
Surubim,Municipal,Rural,6.3,18.5
Tabira,Municipal,Urbana,3.4,12.9
Tabira,Municipal,Rural,2.6,6.2
Tacaimbó,Municipal,Urbana,17.0,32.7
Tacaimbó,Municipal,Rural,15.7,16.7
Tacaratu,Estadual,Rural,10.4,24.9
Tacaratu,Municipal,Urbana,1.1,8.1
Tacaratu,Municipal,Rural,2.0,13.7
Tamandaré,Municipal,Urbana,8.1,20.2
Taquaritinga do Norte,Municipal,Urbana,13.4,21.2
Taquaritinga do Norte,Municipal,Rural,7.9,18.2
Terezinha,Municipal,Urbana,4.1,14.9
Terra Nova,Municipal,Urbana,2.8,8.6
Terra Nova,Municipal,Rural,4.9,5.8
Timbaúba,Municipal,Urbana,7.4,20.2
Timbaúba,Municipal,Rural,7.2,15.0
Toritama,Municipal,Urbana,12.5,24.5
Toritama,Municipal,Rural,13.6,39.5
Tracunhaém,Municipal,Urbana,7.0,20.6
Tracunhaém,Municipal,Rural,0.0,16.5
Trindade,Municipal,Urbana,5.6,12.9
Trindade,Municipal,Rural,4.2,10.7
Triunfo,Municipal,Urbana,0.7,4.7
Triunfo,Municipal,Rural,0.7,10.0
Tupanatinga,Estadual,Rural,25.0,71.4
Tupanatinga,Municipal,Urbana,8.5,22.8
Tupanatinga,Municipal,Rural,14.0,27.5
Tuparetama,Municipal,Urbana,4.4,12.3
Tuparetama,Municipal,Rural,9.6,15.9
Venturosa,Municipal,Urbana,4.6,23.8
Venturosa,Municipal,Rural,0.6,6.2
Verdejante,Municipal,Urbana,7.7,18.1
Verdejante,Municipal,Rural,5.4,15.3
Vertente do Lério,Municipal,Urbana,4.3,20.2
Vertente do Lério,Municipal,Rural,5.9,24.2
Vertentes,Municipal,Urbana,14.6,28.5
Vertentes,Municipal,Rural,11.8,32.2
Vicência,Municipal,Urbana,4.0,14.6
Vicência,Municipal,Rural,7.3,20.3
Vitória de Santo Antão,Municipal,Urbana,11.0,27.3
Vitória de Santo Antão,Municipal,Rural,6.9,21.6
Xexéu,Municipal,Urbana,4.3,13.9
Xexéu,Municipal,Rural,3.4,11.1
